### NORTH AMERICA   
     
## CALIFORNIA    
     
# ALTA CALIFORNIA   

868 = "Pyeongsan"   
869 = "Chunghwa"   
2021 = "Gwanmin"   
2476 = "Gangseong"   
4637 = "Jeongdong"   
     
# APACHERIA    
     
879 = "Changjon"   
2492 = "Sanseong"   
4634 = "Aseog"   
     
# ARIZONA    
     
867 = "Baegju"   
876 = "Gangbyeon"   
877 = "Deogju"   
2491 = "An-og"   
4633 = "Gam-ju"   
     
# BAJA CALIFORNIA   
     
865 = "Bu-ju"   
866 = "Yeondong"   
2620 = "Dongbaeg"   
4639 = "Paam"   
     
# CENTRAL VALLEY   
     
870 = "Sangseo"   
2478 = "Seosong"   
4635 = "Dong-yog"   
4636 = "Gyodong"   
     
# COLORADO PLATEU   
     
875 = "Bongju"   
878 = "Yeonjeong"   
2493 = "Daegyo"   
2494 = "Chihyang"   
     
# NEW MEXICO   
     
880 = "Ian"   
881 = "Wonbong"   
2495 = "Ucheong"   
4631 = "Won-o"   
4632 = "Seonghae"   
     
# NORTH CALIFORNIA   
     
871 = "Cheol-won"   
2477 = "Sohoe"   
2479 = "Gwangdo"   
2480 = "Pyeongmog"   
4638 = "Cheonseo"   
     
# SONORA    
     
862 = "Yumyeong"   
2616 = "Dosin"   
4577 = "Jangdam"   
4649 = "Gangbu"   
4650 = "Lamjin"   
     
## CANADA    
     
# COTE NORD   
     
996 = "Sa-seong"   
2576 = "Jeosu"   
2577 = "Leungnyeong"   
2578 = "Osi"   
2579 = "Seong-i"   
     
# GREENLAND    
     
1104 = "Deogdong"   
1105 = "Won'ju"   
     
# HURONIA    
     
988 = "Yongnyeong"   
989 = "Guncheon"   
2585 = "Seongjin"   
2670 = "Danjwa"   
     
# LABRADOR    
     
997 = "Gun-cheon"   
2574 = "Jangho"   
2575 = "Jin-jeong"   
     
# LAURENTIA    
     
992 = "Geumjeong"   
2581 = "Jeon-won"   
4894 = "Gangseog"   
     
# LOWER ACADIA   
     
982 = "Gyoyang"   
984 = "Gwangjeong"   
2568 = "Gibang"   
2569 = "Abmun"   
4891 = "Haedae"   
     
# LOWER CANADA   
     
993 = "Eon-yang"   
2584 = "Namdae"   
4895 = "Gadae"   
     
# NEWFOUNDLAND    
     
980 = "Sin-an"   
981 = "Jasan"   
2573 = "Chigog"   
     
# OTTAWA VALLEY   
     
4890 = "Deogsi"   
4892 = "Nagheung"   
4897 = "Goggang"   
     
# QUEBEC    
     
986 = "Songju"   
994 = "Gyeongsan"   
995 = "Geoan"   
2582 = "Wongwan"   
2583 = "Taesug"   
     
# ST. JOHN'S VALLEY  
     
2570 = "Chungye"   
2571 = "Heungmae"   
4896 = "Nanghyeong"   
     
# TROIS_RIVIERES    
     
990 = "Gacheon"   
2012 = "Lim-won"   
2580 = "Wiha"   
2580 = "Wiha"   
     
# UPPER ACADIA   
     
983 = "Sogcheon"   
985 = "Pyeongang"   
2572 = "Jongbu"   
     
# UPPER CANADA   
     
987 = "Angmu"   
2586 = "Ulyeo"   
2587 = "Sanho"   
     
# UPPER ONTARIO   
     
991 = "Gwang-ju"   
1001 = "Hyeongu"   
1007 = "Suheon"   
2015 = "Dan-an"   
2671 = "Lyeolpung"   
     
## CARIBBEANS    
     
# DOMINICA    
     
490 = "Hyeonju"   
2658 = "Nyeongbu"   
2659 = "Geomseong"   
4620 = "Heungcheon"   
4621 = "Yangje"   
     
# EAST CUBA   
     
486 = "Dam-yang"   
2654 = "Sunlim"   
2655 = "Sinsan"   
2656 = "Sonpyeong"   
     
# GREATER ANTILLES   
     
481 = "Wonseo Do"   
487 = "Seohae Do"   
491 = "Gimhwa Do"   
492 = "Pyeonghae Do"   
     
# HAITI    
     
488 = "Taesan"   
489 = "Sang-yeong"   
4618 = "Dongmin"   
4619 = "Bongtae"   
     
# LEEWARD ISLANDS   
     
493 = "Dol Do"   
494 = "Dog Do"   
495 = "Ye Do"   
496 = "An Do"   
1881 = "Cho Do"   
     
# LUCAYAN ARCHIPELAGO   
     
482 = "Jindeog Gundo"   
483 = "Deogjeog Gundo"   
     
# WEST CUBA   
     
484 = "Pungsu"   
485 = "Goyeong"   
4622 = "Jinsan"   
4623 = "Pyeongbu"   
4624 = "Wonjin"   
     
# WINDWARD ISLANDS   
     
497 = "Hui Do"   
498 = "Ma Do"   
499 = "Sa Do"   
500 = "Bo Do"   
501 = "Po Do"   
     
## CASCADIA    
     
# ALASKA PANHANDLE   
     
976 = "Unheung"   
977 = "Won-ju"   
2613 = "Ganghae"   
     
# COLUMBIA RIVER   
     
873 = "Heung-ag"   
2486 = "Seong-gu"   
2487 = "Suui"   
2488 = "Simgu"   
     
# HECATE STRAIT   
     
975 = "Sunju"   
2022 = "Jeol-yeong Do"   
2609 = "Leungseon"   
     
# INTERIOR PLATEAU   
     
2003 = "Wicheon"   
2604 = "Mogjeong"   
2605 = "Seosan"   
2606 = "Sando"   
2607 = "Deoggo"   
     
# OREGON    
     
872 = "Gang-wa"   
2481 = "Chegyeong"   
2482 = "Seodae"   
2483 = "Nalyeong"   
     
# PUGET SOUND   
     
874 = "Dalyeong"   
2484 = "Daebu"   
2485 = "Sinbeom"   
     
# SNAKE RIVER   
     
2019 = "Geon-yang"   
2020 = "Sago"   
2489 = "Poui"   
2490 = "Doju"   
2506 = "Anlae"   
     
