## BRITAIN

369 = {"Orkneyjar" "Kirkebukten"}
1978 = {"Hjaltland" "Larvik"}

### NORTH AMERICA   
     
## CALIFORNIA    
     
# ALTA CALIFORNIA   

868 = "Kjempe"   
869 = "Furunes"   
2021 = "Sankt Olafs Bukt"   
2476 = "Stryne"   
4637 = "Nye Larvik"   
     
# APACHERIA    
     
879 = "Vinstra"   
2492 = "Rødstein"   
4634 = "Splittene"   
     
# ARIZONA    
     
867 = "Rødsøylene"   
876 = "Føniks"   
877 = "Ulstein"   
2491 = "Engørken"   
4633 = "Sølvstripa"   
     
# BAJA CALIFORNIA   
     
865 = "Svartsand"   
866 = "Hollenderkapp"   
2620 = "Ny Kragerø"   
4639 = "Sitronby"   
     
# CENTRAL VALLEY   
     
870 = "Sviddfjell"   
2478 = "Nørtorp"   
4635 = "Væpnersdorp"   
4636 = "Kjertesvein"   
     
# COLORADO PLATEU   
     
875 = "St. Kristoffer"   
878 = "Kvitstein"   
2493 = "Flaggstang"   
2494 = "Rødkirke"   
     
# NEW MEXICO   
     
880 = "Store Vågsflaten"   
881 = "Sandstrom"   
2495 = "Fransk Hvile"   
4631 = "Vågsflaten"   
4632 = "Ny-Tønsberg"   
     
# NORTH CALIFORNIA   
     
871 = "Ensteg"   
2477 = "Hornindal"   
2479 = "Jarlsdal"   
2480 = "Ny-Fredrikstad"   
4638 = "Sveitshus"   
     
# SONORA    
     
862 = "Rødtvannstjernet"   
2616 = "Grevensberg"   
4577 = "Christiansborg"   
4649 = "Sogndal"   
4650 = "Trampe"   
     
## CANADA    
     
# COTE NORD   
     
996 = "Skrælingjarland"   
2576 = "Brandråket"   
2577 = "Sjuøyer"   
2578 = "Frisland"   
2579 = "Ny-Siggerud"   
     
# GREENLAND    
     
1104 = "Eiriksfjord"   
1105 = "Vestbygda"   
     
# HURONIA    
     
988 = "Gjerskog"   
989 = "Knut Den Mektiges Land"   
2585 = "Leirskallen"   
2670 = "Blikkstein"   
     
# LABRADOR    
     
997 = "Markland"   
2574 = "Helleland"   
2575 = "Erikssonbukt"   
     
# LAURENTIA    
     
992 = "Askeberg"   
2581 = "Frisenborg"   
4894 = "Rosten"   
     
# LOWER ACADIA   
     
982 = "Åkneskapp"   
984 = "Valle"   
2568 = "Dronningmølle"   
2569 = "Trekløver"   
4891 = "Skjellbreid"   
     
# LOWER CANADA   
     
993 = "Kongefjellet"   
2584 = "Svartskog"   
4895 = "Bergsmoen"   
     
# NEWFOUNDLAND    
     
980 = "Vínland"   
981 = "Hellevasskapp"   
2573 = "Saltbadet"   
     
# OTTAWA VALLEY   
     
4890 = "Sandvika"   
4892 = "Fjerdingen"   
4897 = "Leirvik"   
     
# QUEBEC    
     
986 = "Sleipvågkapp"   
994 = "Lauritsen"   
995 = "Isgården"   
2582 = "Harridsby"   
2583 = "Frostmark"   
     
# ST. JOHN'S VALLEY  
     
2570 = "Døperen"   
2571 = "Jegersborg"   
4896 = "Øysletta"   
     
# TROIS_RIVIERES    
     
990 = "Tre Elver"   
2012 = "St. Benedikte"   
2580 = "Eremittby"   
2580 = "Eremittby"   
     
# UPPER ACADIA   
     
983 = "Kråka"   
985 = "Østgården"   
2572 = "Straumfjörd"   
     
# UPPER CANADA   
     
987 = "Niagara"   
2586 = "Sørkapp"   
2587 = "Grønnmygg"   
     
# UPPER ONTARIO   
     
991 = "Våpenskjold"   
1001 = "Mariestrømmen"   
