province;red;green;blue;name;x;color_hexa
1;128;34;64;Stockholm;x;#802240
2;0;36;128;Östergötland;x;#002480
3;128;38;192;Småland;x;#8026C0
4;0;40;255;Bergslagen;x;#0028FF
5;128;42;0;Värmland;x;#802A00
6;0;44;64;Skåne;x;#002C40
7;129;46;128;Västergötland;x;#812E80
8;1;48;192;Dalaskogen;x;#0130C0
9;129;50;255;Hälsingland;x;#8132FF
10;1;52;0;Jämtland;x;#013400
11;129;54;64;Västerbotten;x;#813640
12;1;56;128;Sjælland;x;#013880
13;129;58;192;Slesvig;x;#813AC0
14;2;60;255;Fyn;x;#023CFF
15;130;62;0;Midtjylland;x;#823E00
16;2;64;64;Bohuslän;x;#024040
17;130;66;128;Akershus;x;#824280
18;2;68;192;Umeå;x;#0244C0
19;130;70;255;Österbotten;x;#8246FF
20;2;72;0;Trøndelag;x;#024800
21;131;74;64;Hålogaland;x;#834A40
22;3;76;128;Oplandene;x;#034C80
23;131;78;192;Bergenshus;x;#834EC0
24;3;80;255;Stavanger;x;#0350FF
25;131;82;0;Gotland;x;#835200
26;3;84;64;Halland;x;#035440
27;131;86;128;Finland;x;#835680
28;4;88;192;Nyland;x;#0458C0
29;132;90;255;Tavastland;x;#845AFF
30;4;92;0;Viborg;x;#045C00
31;132;94;64;Savolax;x;#845E40
32;4;96;128;Kexholm;x;#046080
33;132;98;192;Neva;x;#8462C0
34;4;100;255;Ingermanland;x;#0464FF
35;133;102;0;Ösel;x;#856600
36;5;104;64;Estland;x;#056840
37;133;106;128;Livland;x;#856A80
38;5;108;192;Riga;x;#056CC0
39;133;110;255;Kurland;x;#856EFF
40;5;112;0;Memel;x;#057000
41;133;114;64;Ostpreussen;x;#857240
42;6;116;128;Warmia;x;#067480
43;134;118;192;Danzig;x;#8676C0
44;6;120;255;Hamburg;x;#0678FF
45;134;122;0;Lübeck;x;#867A00
46;6;124;64;Mecklenburg;x;#067C40
47;134;126;128;Stralsund;x;#867E80
48;6;128;192;Kolberg;x;#0680C0
49;135;130;255;Neumark;x;#8782FF
50;7;132;0;Berlin;x;#078400
51;135;134;64;Ruppin;x;#878640
52;7;136;128;Magdeburg;x;#078880
53;135;138;192;Lüneburg;x;#878AC0
54;7;140;255;Bremen;x;#078CFF
55;135;142;0;Oldenburg;x;#878E00
56;8;144;64;Osnabrück;x;#089040
57;136;146;128;Hannover;x;#889280
58;8;148;192;Anhalt;x;#0894C0
59;136;150;255;Meissen;x;#8896FF
60;8;152;0;Lausitz;x;#089800
61;136;154;64;Dresden;x;#889A40
62;8;156;128;Leipzig;x;#089C80
63;137;158;192;Erfurt;x;#899EC0
64;9;32;255;Niederbayern;x;#0920FF
65;137;34;0;München;x;#892200
66;9;36;64;Bamberg;x;#092440
67;137;38;128;Franken;x;#892680
68;9;40;192;Memmingen;x;#0928C0
69;137;42;255;Konstanz;x;#892AFF
70;10;44;0;Württemberg;x;#0A2C00
71;138;46;64;Leiningen;x;#8A2E40
72;10;48;128;Breisgau;x;#0A3080
73;138;50;192;Tirol;x;#8A32C0
74;10;52;255;Baden;x;#0A34FF
75;138;54;0;Elsass;x;#8A3600
76;10;56;64;Salzburg;x;#0A3840
77;139;58;128;Worms;x;#8B3A80
78;11;60;192;Pfalz;x;#0B3CC0
79;139;62;255;Würzburg;x;#8B3EFF
80;11;64;0;Trier;x;#0B4000
81;139;66;64;Hessen;x;#8B4240
82;11;68;128;Lippe;x;#0B4480
83;139;70;192;Nassau;x;#8B46C0
84;12;72;255;Berg;x;#0C48FF
85;140;74;0;Köln;x;#8C4A00
86;12;76;64;Münster;x;#0C4C40
87;140;78;128;Calais;x;#8C4E80
88;12;80;192;Artois;x;#0C50C0
89;140;82;255;Picardie;x;#8C52FF
90;12;84;0;Vlaanderen;x;#0C5400
91;141;86;64;Hainault;x;#8D5640
92;13;88;128;Brabant;x;#0D5880
93;141;90;192;Liège;x;#8D5AC0
94;13;92;255;Luxemburg;x;#0D5CFF
95;141;94;0;Noord;x;#8D5E00
96;13;96;64;Zeeland;x;#0D6040
97;141;98;128;Holland;x;#8D6280
98;14;100;192;Utrecht;x;#0E64C0
99;142;102;255;Gelre;x;#8E66FF
100;14;104;0;Friesland;x;#0E6800
101;142;106;64;Liguria;x;#8E6A40
102;14;108;128;Nice;x;#0E6C80
103;85;80;32;Niklas;x;#555020
104;14;112;255;Lombardia;x;#0E70FF
105;143;114;0;Parma;x;#8F7200
106;15;116;64;Modena;x;#0F7440
107;143;118;128;Brescia;x;#8F7680
108;15;120;192;Verona;x;#0F78C0
109;143;122;255;Mantua;x;#8F7AFF
110;15;124;0;Trent;x;#0F7C00
111;143;126;64;Friuli;x;#8F7E40
112;16;128;128;Venezia;x;#108080
113;144;130;192;Ferrara;x;#9082C0
114;16;132;255;Romagna;x;#1084FF
115;144;134;0;Pisa;x;#908600
116;16;136;64;Firenze;x;#108840
117;144;138;128;Siena;x;#908A80
118;16;140;192;Roma;x;#108CC0
119;145;142;255;Ancona;x;#918EFF
120;17;144;0;Abbruzzi;x;#119000
121;145;146;64;Napoli;x;#919240
122;17;148;128;Apulia;x;#119480
123;145;150;192;Calabria;x;#9196C0
124;17;152;255;Messina;x;#1198FF
125;145;154;0;Palermo;x;#919A00
126;18;156;64;Malta;x;#129C40
127;146;158;128;Sardinia;x;#929E80
128;18;32;192;Kärnten;x;#1220C0
129;146;34;255;Krain;x;#9222FF
130;18;36;0;Istria;x;#122400
131;146;38;64;Croatia;x;#922640
132;18;40;128;Steiermark;x;#122880
133;147;42;192;Linz;x;#932AC0
134;19;44;255;Wien;x;#132CFF
135;147;46;0;Sopron;x;#932E00
136;19;48;64;Dalmatia;x;#133040
137;147;50;128;Ragusa;x;#933280
138;19;52;192;Zeta;x;#1334C0
139;147;54;255;Hum;x;#9336FF
140;20;56;0;Bosnia;x;#143800
141;148;58;64;Serbia;x;#943A40
142;20;60;128;Corfu;x;#143C80
143;148;62;192;Albania;x;#943EC0
144;20;64;255;Janina;x;#1440FF
145;148;66;0;Morea;x;#944200
146;20;68;64;Athens;x;#144440
147;149;70;128;Salonica;x;#954680
148;21;72;192;Macedonia;x;#1548C0
149;149;74;255;Edirne;x;#954AFF
150;21;76;0;Bulgaria;x;#154C00
151;149;78;64;Thrace;x;#954E40
152;21;80;128;Slavonia;x;#155080
153;149;82;192;Pecs;x;#9552C0
154;22;84;255;Ersekujvar;x;#1654FF
155;150;86;0;Szolnok;x;#965600
156;22;88;64;Banat;x;#165840
157;150;90;128;Partium;x;#965A80
158;22;92;192;Transylvania;x;#165CC0
159;150;94;255;Silistria;x;#965EFF
160;22;96;0;Oltenia;x;#166000
161;151;98;64;Wallachia;x;#976240
162;23;100;128;Carpathia;x;#176480
163;151;102;192;Crete;x;#9766C0
164;23;104;255;Naxos;x;#1768FF
165;151;106;0;Bern;x;#976A00
166;23;108;64;Schwyz;x;#176C40
167;151;110;128;Caux;x;#976E80
168;24;112;192;Normandie;x;#1870C0
169;152;114;255;Armor;x;#9872FF
170;24;116;0;Finistère;x;#187400
171;152;118;64;Morbihan;x;#987640
172;24;120;128;Vendée;x;#187880
173;152;122;192;Labourd;x;#987AC0
174;24;124;255;Gascogne;x;#187CFF
175;153;126;0;Armagnac;x;#997E00
176;25;128;64;Béarn;x;#198040
177;153;130;128;Maine;x;#998280
178;25;132;192;Anjou;x;#1984C0
179;153;134;255;Berry;x;#9986FF
180;25;136;0;Poitou;x;#198800
181;153;138;64;Valenciennes;x;#998A40
182;26;140;128;Vermandois;x;#1A8C80
183;154;142;192;Île-de-France;x;#9A8EC0
184;26;144;255;Orléannais;x;#1A90FF
185;147;222;218;Nemours;x;#93DEDA
186;26;148;64;Champagne;x;#1A9440
187;154;150;128;Barrois;x;#9A9680
