religion;religion_name;religion_group;red;green;blue;hexa
catholic;Catholic;Christian;204;204;0;#CCCC00
protestant;Protestant;Christian;0;0;178;#0000B2
hussite;Hussite;Christian;244;55;9;#F43709
reformed;Reformed;Christian;76;76;229;#4C4CE5
anglican;Anglican;Christian;135;77;255;#874DFF
orthodox;Orthodox;Christian;178;127;0;#B27F00
coptic;Coptic;Christian;178;38;76;#B2264C
sunni;Sunni;Muslim;0;153;0;#009900
shiite;Shia;Muslim;0;204;0;#00CC00
ibadi;Ibadi;Muslim;0;102;0;#006600
buddhism;Theravada;Eastern;204;76;0;#CC4C00
vajrayana;Vajrayana;Eastern;204;76;76;#CC4C4C
mahayana;Mahayana;Eastern;204;76;127;#CC4C7F
confucianism;Confucian;Eastern;214;229;140;#D6E58C
shinto;Shinto;Eastern;204;0;0;#CC0000
hinduism;Hindu;Dharmic;0;204;204;#00CCCC
sikhism;Sikh;Dharmic;0;153;153;#009999
animism;Animist;Pagan;127;0;0;#7F0000
shamanism;Fetishist;Pagan;127;76;76;#7F4C4C
totemism;Totemist;Pagan;127;115;115;#7F7373
inti;Inti;Pagan;64;115;115;#407373
nahuatl;Nahuatl;Pagan;64;115;64;#407340
mesoamerican_religion;Mayan;Pagan;127;25;178;#7F19B2
norse_pagan_reformed;Norse;Pagan;191;191;191;#BFBFBF
tengri_pagan_reformed;Tengri;Pagan;25;76;217;#194CD9
jewish;Jewish;Additional;0;156;231;#009CE7
zoroastrian;Zoroastrian;Additional;127;178;51;#7FB233
dreamtime;Alcheringa;Pagan;197;133;43;#C5852B
