good;red;green;blue;hexa
chinaware;45;145;204;#2D91CC
cloth;219;48;48;#DB3030
cocoa;114;53;22;#723516
coffee;56;38;22;#382616
copper;216;117;38;#D87526
cotton;132;173;153;#84AD99
dyes;160;43;127;#A02B7F
fish;140;209;247;#8CD1F7
fur;137;102;79;#89664F
gems;244;198;198;#F4C6C6
glass;0;153;114;#009972
gold;255;214;48;#FFD630
grain;244;237;147;#F4ED93
incense;226;201;119;#E2C977
iron;51;51;51;#333333
ivory;191;178;160;#BFB2A0
livestock;183;124;112;#B77C70
naval_supplies;28;43;102;#1C2B66
paper;229;219;181;#E5DBB5
salt;254;254;254;#FEFEFE
silk;183;25;25;#B71919
slaves;0;0;0;#000000
spices;102;165;96;#66A560
sugar;188;242;173;#BCF2AD
tea;17;84;22;#115416
tobacco;84;142;96;#548E60
tropical_wood;114;119;22;#727716
unknown;127;127;127;#7F7F7F
wine;91;33;71;#5B2147
wool;211;211;211;#D3D3D3
